area_type,size,bathroom,parking,balcony,price,total_sqft,hospital_nearby,school_nearby,mall_nearby,resale,location
Plot  Area,4 BHK,4,2,1,5490000,915,No,Yes,No,0,Yelahanka
Plot  Area,6 BHK,8,2,3,45100000,3000,No,No,No,1,Sarjapur  Road
Super built-up  Area,3 BHK,2,1,2,4290000,1150,No,Yes,No,0,Kadugondanahalli
Built-up  Area,4 BHK,4,2,2,41000000,3900,No,No,No,0,2nd Stage Nagarbhavi
Built-up  Area,5 BHK,4,2,2,9000000,850,No,Yes,Yes,1,Seegehalli
Super built-up  Area,2 BHK,2,2,1,4600000,929,Yes,Yes,No,1,Hebbal
Plot  Area,6 BHK,8,1,3,45000000,2400,Yes,Yes,No,1,Yeshwanthpur
Plot  Area,3 BHK,2,1,1,7500000,1350,No,No,No,0,Kanakapura
Super built-up  Area,2 BHK,2,1,1,3973000,1135,Yes,No,No,1,2nd Stage Nagarbhavi
Built-up  Area,2 BHK,2,2,2,7000000,1405,Yes,No,Yes,1,TC Palaya
Plot  Area,2 BHK,2,1,1,4584000,1200,Yes,No,Yes,1,Vasanthapura
Super built-up  Area,4 BHK,4,2,3,15400000,2805,No,No,No,1,Basava Nagar
Super built-up  Area,2 BHK,2,2,2,6408000,1161,No,Yes,Yes,1,Whitefield
Super built-up  Area,2 BHK,2,2,3,7400000,1290,No,Yes,No,0,Haralur Road
Super built-up  Area,3 BHK,3,1,2,14100000,2557,No,Yes,No,1,Yeshwanthpur
Built-up  Area,3 BHK,3,2,2,9000000,1480,Yes,Yes,Yes,1,Kanakpura Road
Plot  Area,4 BHK,4,2,,50000000,3300,No,Yes,Yes,0,Yeshwanthpur
Super built-up  Area,3 BHK,3,1,0,5454000,1350,Yes,Yes,No,1,2nd Block Hrbr Layout
Super built-up  Area,3 BHK,2,2,2,6500000,1580,Yes,Yes,No,0,BTM 1st Stage
Super built-up  Area,3 BHK,2,2,1,8864000,1470,No,Yes,Yes,1,Old Madras Road
Super built-up  Area,1 BHK,1,2,1,1400000,500,Yes,Yes,No,0,Kadugodi
Super built-up  Area,2 BHK,2,2,1,6192000,1346,No,Yes,No,1,Banashankari
Super built-up  Area,3 BHK,3,2,3,9000000,1600,No,Yes,No,0,Ananth Nagar
Super built-up  Area,2 BHK,2,2,1,12000000,720,No,Yes,Yes,0,Sarjapur  Road
Plot  Area,4 BHK,4,2,0,13500000,1200,No,No,Yes,1,Canara Bank Layout
Super built-up  Area,2 BHK,2,2,2,3500000,1200,Yes,Yes,Yes,1,Naganathapura
Built-up  Area,3 BHK,2,2,2,4833000,1340,Yes,No,No,0,Narasapura
Plot  Area,4 BHK,4,2,,56000000,6136,No,No,Yes,1,Manjunath Nagar
Super built-up  Area,2 BHK,2,1,2,4800000,918,Yes,Yes,Yes,0,Basapura
Plot  Area,3 BHK,3,1,2,11500000,1500,Yes,No,Yes,0,Channasandra
Super built-up  Area,2 BHK,2,2,2,8500000,1315,Yes,Yes,No,0,Devanahalli
Plot  Area,4 BHK,5,1,,77500000,2400,No,Yes,Yes,1,Jigani
Super built-up  Area,3 BHK,2,2,2,6255000,1390,No,No,Yes,1,Singena Agrahara
Super built-up  Area,3 BHK,2,2,1,5600000,1330,Yes,Yes,Yes,0,Yelahanka
Built-up  Area,5 BHK,4,2,,26500000,3100,No,Yes,No,0,Sector 1 HSR Layout
Super built-up  Area,3 BHK,3,1,3,12500000,1824,No,Yes,No,1,Uttarahalli
Super built-up  Area,3 BHK,2,2,2,9600000,1420,Yes,No,No,0,Uttarahalli
Plot  Area,1 BHK,1,1,0,5625000,750,Yes,Yes,Yes,0,Jalahalli
Super built-up  Area,3 BHK,2,2,1,6000000,1260,No,Yes,Yes,0,Mango Garden Layout
Super built-up  Area,3 BHK,3,2,2,9500000,1561,Yes,No,No,1,7th Phase JP Nagar
Plot  Area,9 BHK,6,2,3,16500000,812,Yes,Yes,Yes,0,Kacharakanahalli
Super built-up  Area,2 BHK,2,2,2,4200000,1060,No,Yes,No,0,Jalahalli East
Plot  Area,8 BHK,8,1,3,14500000,1120,No,Yes,Yes,0,Hennur Road
Super built-up  Area,2 BHK,2,1,1,6738000,1225,No,No,No,1,5th Phase JP Nagar
Super built-up  Area,3 BHK,3,2,2,13500000,2144,No,Yes,No,0,"Bidere Agarahara, Behind Safal market"
Plot  Area,7 BHK,6,1,2,14000000,1200,No,No,Yes,0,Hoodi
Super built-up  Area,2 BHK,2,2,2,2900000,880,No,Yes,No,0,Haralur Road
Super built-up  Area,3 BHK,3,2,2,11000000,1639,Yes,No,Yes,0,Thanisandra
Built-up  Area,3 BHK,2,1,1,6200000,1240,Yes,No,Yes,1,Kengeri
Super built-up  Area,2 BHK,2,1,2,6900000,1500,No,Yes,No,1,Electronic City
Super built-up  Area,2 BHK,2,1,1,4600000,1243,Yes,No,No,0,Hoodi
Super built-up  Area,3 BHK,3,1,,7800000,1575,Yes,Yes,No,1,Thanisandra
Super built-up  Area,2 BHK,2,1,2,4400000,1027,No,No,No,0,Kanakpura Road
Super built-up  Area,3 BHK,2,2,1,5600000,1082,No,Yes,Yes,1,Haralur Road
Super built-up  Area,3 BHK,3,2,3,7300000,1637,Yes,No,No,1,Marathahalli
Super built-up  Area,3 BHK,3,1,2,8658000,1665,No,No,Yes,0,Haralur Road
Super built-up  Area,2 BHK,2,2,0,5693000,1265,Yes,Yes,No,0,Kambipura
Super built-up  Area,3 BHK,2,1,2,10200000,1691,Yes,No,Yes,1,Konanakunte
Super built-up  Area,2 BHK,2,2,1,3800000,1100,No,No,Yes,1,Kanakpura Road
Built-up  Area,3 BHK,2,1,2,15000000,2400,Yes,No,Yes,1,Electronic City
Plot  Area,3 BHK,3,1,2,6200000,1500,Yes,Yes,No,0,Electronic City
Built-up  Area,4 BHK,5,1,1,38000000,3205,Yes,Yes,No,1,Thanisandra
Built-up  Area,5 BHK,4,1,1,15000000,1666,No,No,Yes,0,Grihalakshmi Layout
Super built-up  Area,2 BHK,2,1,2,5000000,1115,No,No,Yes,1,Gopalkrishna Nagar
Super built-up  Area,2 BHK,2,1,1,4500000,1070,Yes,Yes,Yes,1,Hosakerehalli
Super built-up  Area,2 BHK,2,1,2,10500000,1128,Yes,Yes,No,0,Kammanahalli
Super built-up  Area,2 BHK,2,2,1,5700000,1162,Yes,Yes,No,0,Choodasandra
Super built-up  Area,2 BHK,2,2,2,5500000,1339,No,Yes,Yes,1,Mysore Road
Super built-up  Area,2 BHK,2,1,2,7500000,1192,Yes,No,Yes,1,Indira Nagar
Super built-up  Area,3 BHK,3,2,1,11500000,1920,No,No,Yes,1,Budigere
Super built-up  Area,2 BHK,2,1,1,5232000,1255,Yes,Yes,No,1,Sai Gardens
Super built-up  Area,2 BHK,2,1,1,11500000,1357,Yes,No,Yes,0,Mahadevpura
Super built-up  Area,3 BHK,3,2,2,7500000,1600,No,No,Yes,0,Haralur Road
Super built-up  Area,2 BHK,2,2,2,5511000,1225,No,Yes,No,1,Hennur
Plot  Area,4 BHK,4,1,3,20000000,2400,Yes,No,No,1,Rajaji Nagar
Super built-up  Area,3 BHK,3,1,3,8000000,1570,Yes,Yes,Yes,0,Dodda Kempaiah Layout
Super built-up  Area,2 BHK,2,1,2,7000000,1093,Yes,Yes,Yes,1,Hanumanth Nagar
Built-up  Area,3 BHK,3,1,3,14500000,1865,No,Yes,No,1,Whitefield
Plot  Area,6 BHK,7,2,3,16500000,1200,Yes,Yes,No,0,Kasturi Nagar
Super built-up  Area,2 BHK,2,2,2,8000000,1039,Yes,No,Yes,0,Thanisandra
Super built-up  Area,2 BHK,2,2,1,6450000,1246,Yes,No,No,0,Basaveshwara Nagar
Super built-up  Area,3 BHK,3,1,2,7500000,1985,No,No,No,1,R.T. Nagar
Super built-up  Area,3 BHK,3,2,3,4900000,1590,No,Yes,Yes,0,Kaikondrahalli
Plot  Area,4 BHK,4,2,2,67500000,4000,No,No,Yes,1,Vittasandra
Super built-up  Area,2 BHK,2,1,2,3800000,775,No,No,Yes,1,Whitefield
Super built-up  Area,2 BHK,2,2,1,5000000,1000,Yes,Yes,No,0,Hosakerehalli
Super built-up  Area,3 BHK,3,2,2,17500000,1800,No,Yes,Yes,1,Hunasamaranahalli
Super built-up  Area,2 BHK,2,1,1,4100000,1035,Yes,Yes,No,0,Electronic City Phase II
Super built-up  Area,3 BHK,2,2,1,7500000,1520,Yes,Yes,Yes,0,RWF West Colony
Super built-up  Area,2 BHK,2,2,1,9500000,1360,No,No,Yes,1,Hebbal Kempapura
Plot  Area,4 BHK,5,1,3,40000000,6000,Yes,Yes,Yes,1,Bommasandra
Super built-up  Area,2 BHK,2,2,2,5600000,1117,No,No,No,0,Dasarahalli
Plot  Area,4 BHK,4,2,3,12000000,1200,Yes,No,No,1,Whitefield
Super built-up  Area,2 BHK,2,1,1,9250000,1330,No,Yes,Yes,0,Bileshivale
Super built-up  Area,3 BHK,3,2,2,16000000,1937,Yes,Yes,Yes,1,Kodigehaali
Super built-up  Area,2 BHK,2,2,1,6549000,1128,Yes,No,Yes,0,KR Puram
Super built-up  Area,2 BHK,2,1,1,4500000,1053,Yes,No,Yes,0,EPIP Zone
Super built-up  Area,2 BHK,2,2,1,7700000,1198,Yes,No,No,0,Marathahalli
Super built-up  Area,2 BHK,2,2,1,5600000,1152,No,No,No,0,Electronic City
Super built-up  Area,6 BHK,6,2,2,12500000,1200,Yes,No,Yes,1,Neeladri Nagar
Super built-up  Area,2 BHK,2,1,1,7500000,1625,Yes,No,No,0,Panathur
Super built-up  Area,3 BHK,3,2,3,10500000,1397,No,No,Yes,1,Marathahalli
Super built-up  Area,3 BHK,3,1,3,17000000,1523,No,Yes,No,0,1st Block Jayanagar
Super built-up  Area,2 BHK,2,2,1,4500000,883,No,No,Yes,0,Frazer Town
Super built-up  Area,1 BHK,1,2,0,3800000,700,Yes,Yes,No,1,Kundalahalli
Super built-up  Area,2 BHK,2,2,1,6250000,1170,Yes,Yes,No,1,Yeshwanthpur
Super built-up  Area,3 BHK,2,2,2,4200000,1200,Yes,No,No,1,Kambipura
Built-up  Area,3 BHK,3,2,2,17000000,2400,Yes,No,No,0,Kaggalipura
Super built-up  Area,2 BHK,2,2,2,6500000,1480,Yes,No,Yes,0,Yelahanka
Super built-up  Area,3 BHK,3,2,2,12000000,1897,Yes,Yes,Yes,1,Kanakpura Road
Super built-up  Area,2 BHK,2,2,1,6700000,996,Yes,No,No,1,Manayata Tech Park
Super built-up  Area,3 BHK,3,1,2,11000000,1875,Yes,Yes,Yes,0,Kullappa Colony
Super built-up  Area,3 BHK,2,1,2,9800000,1500,No,No,Yes,0,Akshaya Nagar
Super built-up  Area,3 BHK,3,2,3,35000000,3095,No,No,No,1,Rachenahalli
Super built-up  Area,3 BHK,2,1,1,17500000,1390,Yes,Yes,No,1,Haralur Road
Super built-up  Area,3 BHK,3,1,0,6525500,1445,Yes,No,No,1,Williams Town
Super built-up  Area,1 BHK,1,2,0,4500000,697,Yes,Yes,Yes,0,Jaya Nagar East
Built-up  Area,1 BHK,1,1,1,2700000,710,Yes,No,No,1,Ambalipura
Carpet  Area,2 BHK,2,1,1,3050000,910,No,Yes,No,1,Yelahanka
Built-up  Area,3 BHK,2,2,1,4800000,1025,No,No,Yes,1,Yelahanka
Super built-up  Area,2 BHK,2,1,0,4650000,884,Yes,No,No,1,Sarjapur  Road
Plot  Area,4 BHK,4,2,,24400000,1200,Yes,No,No,0,Iggalur
Super built-up  Area,3 BHK,2,1,1,4648000,1453,Yes,No,Yes,0,Sompura
Super built-up  Area,4 BHK,5,1,2,30000000,3335,Yes,Yes,Yes,1,Magadi Road
Super built-up  Area,2 BHK,2,1,0,3643500,850,No,No,No,1,Harlur
Super built-up  Area,2 BHK,2,2,1,7400000,1281,No,Yes,Yes,1,Horamavu Agara
Built-up  Area,1 BHK,1,2,1,3500000,565,Yes,No,Yes,1,Sarjapur  Road
Built-up  Area,2 BHK,2,1,2,4200000,1024,Yes,Yes,Yes,0,Thanisandra
Built-up  Area,3 BHK,3,2,2,6200000,1620,Yes,No,Yes,1,Bellandur
Super built-up  Area,2 BHK,2,1,2,4000000,1254,No,Yes,Yes,0,Cooke Town
Built-up  Area,3 BHK,2,1,2,7500000,1300,Yes,Yes,Yes,0,Varthur
Built-up  Area,2 BHK,2,1,2,4300000,1233,No,No,No,0,Electronic City
Plot  Area,1 BHK,1,2,1,2800000,1200,Yes,Yes,Yes,0,Whitefield
Super built-up  Area,3 BHK,2,1,1,10500000,1510,Yes,Yes,Yes,0,Banashankari
Super built-up  Area,2 BHK,2,2,1,6500000,950,Yes,Yes,No,1,Doddakallasandra
Super built-up  Area,3 BHK,3,1,2,9742000,1945,Yes,No,Yes,0,Chokkanahalli
Super built-up  Area,2 BHK,2,2,3,4500000,1008,Yes,Yes,No,1,Hosur Road
Super built-up  Area,3 BHK,2,1,1,7900000,1265,No,No,No,0,Kaggalipura
Super built-up  Area,3 BHK,2,2,1,7768000,1255,No,No,Yes,1,Battarahalli
Built-up  Area,4 BHK,6,2,2,22000000,2689,No,No,No,1,Uttarahalli
Built-up  Area,2 BHK,2,1,2,4617000,1200,Yes,No,Yes,1,Thanisandra
Super built-up  Area,3 BHK,3,2,3,5163000,1403,No,No,Yes,0,Hebbal
Super built-up  Area,3 BHK,3,2,2,8500000,1535,No,Yes,Yes,0,Kanakpura Road
Plot  Area,3 BHK,3,1,3,10000000,1500,No,Yes,No,1,Yelenahalli
Super built-up  Area,3 BHK,2,1,2,12000000,1475,No,No,Yes,1,Sarjapur  Road
Super built-up  Area,3 BHK,2,2,2,6047000,1390,No,No,No,1,Kudlu Gate
Super built-up  Area,3 BHK,2,1,1,5376000,1278,Yes,Yes,Yes,0,Chikkaballapur
Super built-up  Area,2 BHK,2,1,2,5500000,1133,Yes,No,Yes,0,Chamrajpet
Plot  Area,5 BHK,5,2,1,14500000,1560,Yes,Yes,Yes,0,Uttarahalli
Plot  Area,5 BHK,5,2,2,9000000,2900,No,No,No,1,Raja Rajeshwari Nagar
Super built-up  Area,2 BHK,2,2,1,5199000,1170,Yes,Yes,No,0,VGP Layout
Plot  Area,3 BHK,3,1,3,20000000,1200,Yes,No,Yes,0,Classic Paradise Layout
Super built-up  Area,3 BHK,3,2,2,9479000,1697,No,No,No,0,Byappanahalli
Super built-up  Area,3 BHK,3,2,3,9738000,1651,No,No,Yes,1,Kogilu
Super built-up  Area,3 BHK,3,1,1,18800000,1560,Yes,Yes,No,0,Sahakara Nagar
Super built-up  Area,3 BHK,2,2,1,6000000,1192,Yes,Yes,Yes,0,Whitefield
Built-up  Area,2 BHK,2,2,3,6500000,1078,No,No,Yes,1,Thanisandra
Plot  Area,7 BHK,7,1,3,10500000,800,Yes,No,Yes,1,Vasanth nagar
Super built-up  Area,2 BHK,2,2,2,7800000,1349,Yes,No,No,1,Hennur Road
Plot  Area,9 BHK,8,1,1,21000000,2300,Yes,Yes,Yes,1,OMBR Layout
Super built-up  Area,3 BHK,3,1,2,12000000,1680,No,Yes,No,1,Kumaraswami Layout
Super built-up  Area,3 BHK,2,2,2,6300000,1314,No,No,No,1,Kasavanhalli
Super built-up  Area,2 BHK,2,1,1,4870000,1060,Yes,Yes,Yes,0,Ulsoor
Built-up  Area,2 BHK,2,2,0,3900000,820,No,No,No,0,7th Phase JP Nagar
Plot  Area,4 BHK,4,2,3,40000000,5000,Yes,Yes,Yes,0,Rayasandra
Super built-up  Area,3 BHK,3,1,2,8500000,2000,Yes,Yes,Yes,0,Garudachar Palya
Super built-up  Area,2 BHK,2,1,3,4000000,856,No,No,No,0,Kalyan nagar
Super built-up  Area,3 BHK,4,2,0,13000000,1621,Yes,No,No,1,Whitefield
Plot  Area,3 BHK,3,1,1,6840000,1200,Yes,Yes,No,0,BEML Layout
Super built-up  Area,3 BHK,3,2,2,5250000,1484,Yes,No,Yes,1,Kalkere
Plot  Area,4 BHK,5,1,2,6000000,600,Yes,No,No,1,Rajaji Nagar
Plot  Area,3 BHK,3,1,2,80000000,1950,No,Yes,No,1,ITPL
Super built-up  Area,1 BHK,1,1,1,2000000,500,No,No,Yes,1,Bannerghatta Road
Super built-up  Area,1 BHK,1,2,1,1500000,485,No,No,No,0,T.C. Palya
Super built-up  Area,2 BHK,2,1,1,4200000,1050,Yes,Yes,No,0,Siddapura
Super built-up  Area,3 BHK,3,2,3,6668000,1617,Yes,Yes,Yes,0,Yelahanka New Town
Built-up  Area,2 BHK,1,1,1,1600000,550,Yes,Yes,No,1,Makali
Built-up  Area,3 BHK,3,2,2,6228000,1384,No,Yes,Yes,0,7th Phase JP Nagar
Super built-up  Area,2 BHK,2,2,2,8500000,1408,No,No,No,1,Uttarahalli
Built-up  Area,2 BHK,2,2,1,4900000,1150,No,Yes,Yes,0,Electronic City
Super built-up  Area,3 BHK,2,1,2,7500000,1410,Yes,No,No,0,RWF West Colony
Built-up  Area,4 BHK,4,2,1,10000000,2150,Yes,Yes,No,0,Devanahalli
Super built-up  Area,3 BHK,4,2,1,27500000,2292,Yes,No,No,1,Uttarahalli
Built-up  Area,3 BHK,3,2,,29700000,2006,Yes,Yes,Yes,0,Akshaya Nagar
Built-up  Area,3 BHK,3,2,2,7025000,1508,Yes,No,Yes,0,Kaggadasapura
Built-up  Area,2 BHK,2,1,2,5000000,1040,Yes,No,Yes,0,Koramangala
Plot  Area,2 BHK,2,1,1,6000000,1240,No,Yes,Yes,1,Malleshwaram
Super built-up  Area,3 BHK,3,1,1,7800000,1535,No,Yes,No,1,Maragondanahalli
Built-up  Area,2 BHK,2,2,2,7500000,1180,Yes,No,Yes,1,Ramamurthy Nagar
Built-up  Area,6 BHK,6,1,2,6800000,2200,No,No,No,1,TC Palaya
Super built-up  Area,2 BHK,2,2,2,7800000,1400,No,Yes,No,1,Kudlu Gate
Super built-up  Area,1 BHK,1,1,1,2500000,500,No,No,No,1,Lakshminarayana Pura
Plot  Area,4 BHK,4,2,3,52500000,4800,No,No,No,0,Abbigere
Super built-up  Area,3 BHK,4,1,1,14600000,1984,Yes,Yes,Yes,1,Bannerghatta Road
Plot  Area,4 BHK,5,2,3,25000000,3000,No,No,Yes,0,Raja Rajeshwari Nagar
Super built-up  Area,3 BHK,3,2,3,16000000,1960,Yes,No,Yes,0,Whitefield
Super built-up  Area,2 BHK,2,2,1,4500000,1035,Yes,No,Yes,0,Sarjapur  Road
Built-up  Area,4 BHK,4,1,1,8000000,2150,No,Yes,Yes,0,Whitefield
Built-up  Area,3 BHK,3,2,2,11500000,1700,No,Yes,Yes,0,Garudachar Palya
Super built-up  Area,4 BHK,5,2,1,24800000,3024,No,Yes,Yes,1,Sarjapur  Road
Super built-up  Area,3 BHK,3,2,1,10000000,1586,No,No,Yes,1,Vibuthipura
Built-up  Area,3 BHK,,1,,15500000,2264,Yes,Yes,Yes,1,Whitefield
Plot  Area,4 BHK,4,2,1,12000000,2325,Yes,Yes,No,0,Hosakerehalli
Super built-up  Area,2 BHK,2,2,2,5500000,1120,Yes,No,Yes,0,Tumkur Road
Super built-up  Area,3 BHK,,1,,6798000,1440,No,Yes,Yes,1,Hennur
Super built-up  Area,2 BHK,2,1,2,5900000,1128,Yes,Yes,No,1,Chikka Tirupathi
Plot  Area,6 BHK,6,2,2,25000000,1200,Yes,Yes,No,0,Yelahanka
Super built-up  Area,2 BHK,2,2,2,6500000,924,No,Yes,Yes,0,Yelahanka
Super built-up  Area,3 BHK,3,2,2,5200000,1600,Yes,No,No,1,Sarjapur  Road
Super built-up  Area,2 BHK,2,2,2,3500000,1006,No,Yes,No,0,5th Block Hbr Layout
Super built-up  Area,2 BHK,2,1,2,5500000,1200,Yes,Yes,No,1,Jigani
Super built-up  Area,2 BHK,2,1,1,6200000,1250,Yes,Yes,Yes,1,Suraksha Nagar
Plot  Area,3 BHK,3,2,1,13000000,1200,Yes,Yes,No,1,Pai Layout
Built-up  Area,2 BHK,2,1,1,5600000,957,No,Yes,Yes,0,Amruthahalli
Super built-up  Area,2 BHK,2,1,2,4100000,1140,No,No,No,1,Jalahalli West
Super built-up  Area,2 BHK,2,2,1,6700000,1050,Yes,No,Yes,1,Defence Layout
Super built-up  Area,3 BHK,3,2,2,8850000,1565,Yes,No,No,1,Kannamangala
Super built-up  Area,2 BHK,2,2,3,5700000,1190,Yes,No,Yes,1,Whitefield
Built-up  Area,3 BHK,3,1,2,16200000,2842,Yes,Yes,No,1,Roopena Agrahara
Built-up  Area,3 BHK,2,2,2,6500000,1558.67,Yes,Yes,Yes,1,Kasturi Nagar
Super built-up  Area,1 BHK,1,2,1,3900000,630,Yes,Yes,No,1,Whitefield
Super built-up  Area,3 BHK,2,2,2,6081000,1403,No,No,No,1,Whitefield
Super built-up  Area,3 BHK,2,2,3,8500000,1542,No,Yes,No,1,Kanakpura Road
Built-up  Area,4 BHK,4,1,0,22000000,2750,No,No,No,1,Electronics City Phase 1
Super built-up  Area,4 BHK,5,1,1,29000000,3596,No,Yes,No,0,Whitefield
Super built-up  Area,3 BHK,2,2,,7800000,1635,Yes,No,Yes,1,Kanakpura Road
Super built-up  Area,2 BHK,2,1,1,5300000,1239,Yes,Yes,No,0,Haralur Road
Super built-up  Area,2 BHK,2,1,2,4700000,1194,No,Yes,No,0,Iblur Village
Super built-up  Area,3 BHK,3,1,1,10500000,1596,Yes,Yes,Yes,0,Kengeri Satellite Town
Super built-up  Area,2 BHK,2,1,1,3834000,1009,Yes,Yes,No,0,Mysore Road
Super built-up  Area,3 BHK,3,1,2,8199000,1726,No,Yes,Yes,1,Haralur Road
Super built-up  Area,3 BHK,3,1,2,8600000,1535,No,No,No,0,Dooravani Nagar
Super built-up  Area,3 BHK,2,2,1,5850000,1300,No,Yes,No,1,Channasandra
Plot  Area,4 BHK,4,1,2,46500000,3100,Yes,No,No,0,Hosa Road
Super built-up  Area,3 BHK,3,1,3,8000000,1800,No,No,No,0,Kudlu Gate
Super built-up  Area,1 BHK,1,2,0,5075000,665,No,No,No,1,Banashankari Stage V
Plot  Area,9 BHK,7,2,1,120000000,4050,No,No,Yes,1,Whitefield
Plot  Area,3 BHK,2,1,1,10000000,1500,Yes,Yes,Yes,1,Coconut Garden
Built-up  Area,2 BHK,2,1,2,4800000,925,No,Yes,Yes,0,Binny Pete
Super built-up  Area,4 BHK,4,2,,25100000,3356,Yes,No,Yes,1,Chamrajpet
Super built-up  Area,2 BHK,2,1,1,6359000,1395,No,No,Yes,1,TC Palaya
Super built-up  Area,3 BHK,2,1,1,5500000,1415,No,No,Yes,1,Kalkere
Super built-up  Area,3 BHK,2,1,2,5900000,1419,Yes,No,Yes,0,Old Airport Road
Super built-up  Area,2 BHK,2,2,2,7800000,1121,No,Yes,Yes,0,Gollahalli
Super built-up  Area,3 BHK,2,1,1,4500000,1082,Yes,No,No,1,Sonnenahalli
Super built-up  Area,2 BHK,2,2,1,4700000,1100,No,No,Yes,0,Begur
Super built-up  Area,3 BHK,3,2,3,8955000,1606,Yes,Yes,Yes,1,Kasavanhalli
Built-up  Area,3 BHK,3,2,2,8800000,1650,Yes,No,Yes,0,Kambipura
Super built-up  Area,3 BHK,4,2,3,101500000,4634,Yes,No,Yes,1,KR Puram
Super built-up  Area,2 BHK,2,1,3,7500000,1206,No,Yes,Yes,1,Hoodi
Built-up  Area,3 BHK,2,2,0,6400000,1495,No,Yes,No,0,Billekahalli
Plot  Area,8 BHK,7,2,2,19500000,840,Yes,Yes,Yes,0,D Souza Layout
Super built-up  Area,2 BHK,2,1,2,1600000,710,No,No,Yes,1,Old Airport Road
Super built-up  Area,2 BHK,2,1,1,7200000,1210,No,No,No,1,Sarjapur  Road
Super built-up  Area,3 BHK,2,2,2,5340000,1523,Yes,No,No,0,Malleshwaram
Super built-up  Area,2 BHK,2,2,2,4500000,1232,Yes,Yes,Yes,0,Electronic City
Super built-up  Area,1 BHK,1,1,1,4400000,680,No,No,Yes,0,Balagere
Super built-up  Area,3 BHK,3,2,1,8387000,1355,Yes,Yes,Yes,1,Nagarbhavi
Super built-up  Area,3 BHK,2,2,2,5146000,1430,Yes,No,No,1,Whitefield
Super built-up  Area,3 BHK,2,2,2,4385000,1275,Yes,Yes,Yes,1,Rachenahalli
Super built-up  Area,2 BHK,2,2,1,5610000,1070,Yes,No,Yes,0,Hebbal
Plot  Area,3 BHK,3,1,1,8500000,1200,Yes,Yes,Yes,0,Thanisandra
Plot  Area,4 BHK,4,2,0,12000000,2000,No,No,Yes,1,Kothannur
Super built-up  Area,2 BHK,2,2,2,4000000,1200,No,Yes,No,0,Electronic City
Super built-up  Area,3 BHK,3,1,1,9000000,1610,Yes,Yes,No,0,Bettahalsoor
Super built-up  Area,2 BHK,2,1,2,4300000,1140,Yes,Yes,Yes,0,Electronic City
Super built-up  Area,2 BHK,2,2,2,3865000,1143,Yes,Yes,Yes,0,Bommanahalli
Super built-up  Area,4 BHK,6,1,3,24900000,3467.86,Yes,No,Yes,0,Marathahalli
Super built-up  Area,3 BHK,2,1,2,7440000,1530,Yes,Yes,Yes,1,Haralur Road
Super built-up  Area,2 BHK,2,2,2,6900000,980,No,No,Yes,0,Raja Rajeshwari Nagar
Super built-up  Area,3 BHK,3,1,2,6500000,1485,Yes,No,Yes,1,Jakkur
Plot  Area,3 BHK,3,2,1,13000000,1500,Yes,No,No,0,Rachenahalli
Super built-up  Area,2 BHK,2,1,1,7500000,1280,Yes,No,Yes,1,7th Phase JP Nagar
Super built-up  Area,2 BHK,2,2,2,8500000,1265,Yes,Yes,No,0,Whitefield
Built-up  Area,2 BHK,2,1,1,6700000,1132,Yes,Yes,No,1,Whitefield
Super built-up  Area,2 BHK,2,1,2,6300000,1262,No,No,No,1,Whitefield
Super built-up  Area,2 BHK,2,1,1,4900000,940,Yes,Yes,Yes,0,Thanisandra
Super built-up  Area,3 BHK,3,2,3,8800000,1515,Yes,Yes,Yes,0,"ECC Road, Whitefield, "
Super built-up  Area,3 BHK,3,2,3,15000000,1300,No,No,Yes,0,Ashwath Nagar
Built-up  Area,3 BHK,3,2,1,6900000,1840,No,Yes,No,0,JP Nagar
Built-up  Area,2 BHK,2,2,2,4500000,890,Yes,No,Yes,1,Seetharampalya
Super built-up  Area,3 BHK,3,2,2,8606000,1655,No,Yes,No,0,Jigani
Super built-up  Area,3 BHK,3,2,1,14900000,2060,Yes,No,No,1,Kothanur
Super built-up  Area,3 BHK,3,1,1,9600000,1730,No,No,Yes,0,Electronic City
Built-up  Area,3 BHK,4,2,2,12700000,2195,Yes,No,No,0,Rukmaiah Layout
Super built-up  Area,3 BHK,3,1,2,12500000,1650,No,Yes,Yes,1,Hennur Road
Plot  Area,2 BHK,2,1,0,7100000,1200,No,Yes,Yes,0,Bommanahalli
Super built-up  Area,2 BHK,2,1,1,3237000,1079,No,No,No,0,Yelahanka
Super built-up  Area,2 BHK,2,2,1,3600000,1085,No,No,Yes,1,Kathriguppe
Built-up  Area,7 BHK,7,2,,29900000,5000,No,No,Yes,0,KR Puram
Super built-up  Area,2 BHK,2,2,1,5150000,1075,No,No,No,0,Hosa Road
Super built-up  Area,2 BHK,2,2,1,8000000,1380,No,No,No,0,Panathur
Super built-up  Area,3 BHK,3,2,1,6500000,1450,Yes,Yes,Yes,1,Maruthi Sevanagar
Super built-up  Area,2 BHK,2,2,2,7800000,1200,No,No,No,1,Yelahanka
Super built-up  Area,3 BHK,4,2,,35000000,3200,No,No,Yes,1,Devanahalli Int. Airport
Super built-up  Area,3 BHK,3,2,1,9832000,1639,No,No,Yes,0,Puttanahalli
Super built-up  Area,2 BHK,2,2,1,5400000,1200,No,Yes,Yes,0,Thubarahalli
Super built-up  Area,3 BHK,3,1,1,11600000,1739,Yes,No,Yes,1,Benson Town
Built-up  Area,4 BHK,5,1,,50000000,4346,Yes,No,No,0,Hoodi
